x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,y
1069.5,672.192017,1.591,1.532,1593.875,879.125,446,183.375,94.625,46,16.375,2.125,0.036,0.077,0.141,0.239,0.329,0.447,0.669,0.902,2.371,1.308,0.664,0.273,0.141,0.068,0.024,0.003,6.505,6.358,6.33,1.118,10.062,10.223,383.375,209.5,111.5,67.5,37.875,29.875,21.375,15.125,19.025999,28.011999,33.463001,43.785,54.459,58.296001,67.874001,83.379997,0.849,0.681,18.711,2.885,1285.125,487.625,128.25,51,24,9.875,2.125,0,308.75,391.5,317.75,132.375,70.625,36.125,14.25,2.125,57.200001,511.645996,-1
1131.75,723.656006,1.564,1.617,1768.75,1070.5,585.5,251.875,132.25,68.5,26.5,7.125,0.037,0.066,0.093,0.122,0.136,0.14,0.196,0.467,2.444,1.479,0.809,0.348,0.183,0.095,0.037,0.01,7.9,7.8,7.508,0.707,0.707,0.707,408.125,237.5,132,83.375,55.75,42.875,31.75,22.875,12.252,25.431,56.290001,87.075996,114.688004,115.348999,114.612,115.656998,1.002,0.822,22.158001,1.723,1415.125,614.5,197.25,65.875,29.5,13.75,2.5,0,353.625,456,388.25,186,102.75,54.75,24,7.125,60.345001,534.664001,-1
1129.625,710.463989,1.59,1.576,1819.625,1150.375,613.25,223.75,104.375,50.125,24,7.25,0.046,0.076,0.123,0.195,0.224,0.316,0.341,0.497,2.561,1.619,0.863,0.315,0.147,0.071,0.034,0.01,8.021,7.261,6.431,0.866,7.399,7.681,344.125,186.625,102,59.875,35.25,27.375,18.125,14.125,13.688,13.39,11.42,18.249001,28.895,32.483002,22.541,23.396999,1.023,0.837,19.433001,7.191,1453.125,635.5,198.875,63.25,30,12.75,3.25,0,366.5,514.875,414.375,160.5,74.375,37.375,20.75,7.25,60.401001,559.690979,-1
1139.125,719.90802,1.582,1.594,1802.875,1110.125,601.625,228,104.5,50.625,24.375,7.25,0.045,0.078,0.119,0.182,0.221,0.312,0.342,0.454,2.504,1.542,0.836,0.317,0.145,0.07,0.034,0.01,8.214,7.34,6.546,0.866,1.581,1.118,349.875,194.125,98,59.875,35,27.375,19.25,14.75,13.38,11.856,10.918,19.165001,29.131001,29.940001,25.822001,29.101999,1.066,0.846,19.716999,7.374,1451,630.375,196.875,63,29,12.125,3.125,0,351.875,479.75,404.75,165,75.5,38.5,21.25,7.25,60.401001,559.690979,-1
1102,715.36499,1.54,1.633,1808.375,1089,589.125,231.375,103.125,50.375,21.375,7.875,0.048,0.089,0.139,0.169,0.174,0.241,0.297,0.377,2.528,1.522,0.824,0.323,0.144,0.07,0.03,0.011,8.096,7.835,7.796,0.707,1.225,0.707,358,207.125,108.5,68.625,40.375,33.125,22.375,18.25,27.009001,31.856001,29.761,28.936001,27.601999,36.311001,67.650002,74.433998,0.95,0.734,19.395,3.175,1459.375,641.625,213.125,70,31.375,11.625,2.875,0,349,447.375,376,161.375,71.75,38.75,18.5,7.875,57.508999,525.609009,-1
1017.5,637.03302,1.597,1.486,1460.25,769.375,355.75,145.5,74.375,35,13.875,2.125,0.021,0.047,0.106,0.199,0.297,0.439,0.657,0.879,2.292,1.208,0.558,0.228,0.117,0.055,0.022,0.003,6.53,6.497,6.436,1.118,5.895,6.519,385.375,211.125,111.375,64.375,36.375,29.375,22.5,17.75,17.105,28.002001,37.632999,49.660999,59.452999,63.236,74.217003,93.192001,0.668,0.544,18.023001,3.002,1180.125,435.25,107,41.25,19.75,8.75,2,0,280.125,334.125,248.75,104.25,54.625,26.25,11.875,2.125,54.216,465.596985,-1
1157.875,734.028992,1.577,1.615,1910.375,1243.75,669.5,263.75,121.25,56.75,24.5,7.625,0.035,0.057,0.087,0.094,0.121,0.238,0.313,0.504,2.603,1.694,0.912,0.359,0.165,0.077,0.033,0.01,8.002,7.337,7.22,1.118,0.866,0.707,330.125,190.375,105,62.25,39.375,31.125,19.75,15,15.74,16.834,12.813,12.902,18.523001,20.767,17.077,16.976,1.155,0.912,19.728001,6.106,1576.75,792.75,284.5,90.875,38.25,14.375,3.375,0,333.625,451,385,172.875,83,42.375,21.125,7.625,61.816002,569.661987,-1
1132.625,728.65802,1.554,1.633,1756,981.375,517.625,235.375,126.125,64.375,26,6.25,0.047,0.094,0.164,0.252,0.322,0.367,0.374,0.266,2.41,1.347,0.71,0.323,0.173,0.088,0.036,0.009,7.883,7.249,6.384,0.866,7.263,7.141,436.625,253.5,126.75,76.25,42.5,37,26,22.375,17.823999,22.833,28.378,39.755001,37.347,35.625,40.921001,51.145,0.995,0.844,18.700001,3.353,1479.5,672.125,243.625,90,40.25,14,2.375,0,276.5,309.25,274,145.375,85.875,50.375,23.625,6.25,58.615002,521.617004,-1
1059.75,700.776001,1.512,1.646,1741.125,1096.875,615.375,249.875,127.25,64.625,26.25,5.5,0.036,0.063,0.1,0.205,0.305,0.351,0.346,0.295,2.485,1.565,0.878,0.357,0.182,0.092,0.037,0.008,7.813,7.505,6.832,0.707,7.762,7.5,341.5,202,97,57.5,35.125,29.5,19.625,16.125,14.251,17.524,15.658,14.621,17.527,26.983,39.462002,51.998001,1.312,1.124,18.605,4.768,1423.125,670.25,256.125,91.75,42.125,15,2.625,0,318,426.625,359.25,158.125,85.125,49.625,23.625,5.5,54.361,506.002014,-1
1090.25,711.504028,1.532,1.637,1843.875,1221.5,702.25,272,126.625,63.625,25.75,6.25,0.033,0.057,0.086,0.178,0.329,0.372,0.367,0.27,2.592,1.717,0.987,0.382,0.178,0.089,0.036,0.009,7.892,7.248,6.378,0.866,7.263,7.141,319.25,189.375,97.375,56.625,36.25,31.375,22.625,18.125,20.855,26.047001,20.996,21.486,20.052999,24.813,28.576,34.853001,1.3,1.124,17.427,3.591,1507.5,724.875,272.125,95.25,43.5,15.75,2.75,0,336.375,496.625,430.125,176.75,83.125,47.875,23,6.25,56.289001,540.447021,-1
